sequence accession,strain_name,state,subtype,NA_clade,HA_clade
JQ858448,A/swine/Illinois/A01134581/2011,Illinois,H1N2,N2.2002A,delta1b
CY115008,A/swine/Illinois/A01201430/2011,Illinois,H1N2,N2.2002A,delta1b
KR859604,A/swine/Illinois/A01134578/2011,Illinois,H1N2,N2.2002A,delta1b
KR859400,A/swine/Illinois/A01134579/2011,Illinois,H1N2,N2.2002A,delta1b
CY115004,A/swine/Illinois/A01134580/2011,Illinois,H1N2,N2.2002A,delta1b
CY115013,A/swine/Illinois/A01134851/2011,Illinois,H1N2,N2.2002A,delta1b
CY089402,A/swine/South_Dakota/5/2011,South Dakota,H1N2,N2.2002A,delta1b
CY089405,A/swine/South_Dakota/6/2011,South Dakota,H1N2,N2.2002A,delta1b
JQ858449,A/swine/Illinois/A01134653/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858450,A/swine/Illinois/A01134654/2011,Illinois,H1N2,N2.2002A,delta1b
CY115036,A/swine/Illinois/A01134656/2011,Illinois,H1N2,N2.2002A,delta1b
JN652439,A/swine/Iowa/A01049640/2011,Iowa,H1N2,N2.2002A,delta1b
JN652440,A/swine/Iowa/A01049643/2011,Iowa,H1N2,N2.2002A,delta1b
JN652441,A/swine/Iowa/A01049644/2011,Iowa,H1N2,N2.2002A,delta1b
JN652442,A/swine/Iowa/A01049645/2011,Iowa,H1N2,N2.2002A,delta1b
JN652443,A/swine/Iowa/A01049646/2011,Iowa,H1N2,N2.2002A,delta1b
JN652444,A/swine/Nebraska/A01049648/2011,Nebraska,H1N2,N2.2002A,delta1b
JN652445,A/swine/Indiana/A01049653/2011,Indiana,H3N2,N2.2002A,cluster_iva
JX080655,A/swine/Iowa/A01049661/2011,Iowa,H1N2,N2.2002A,delta1a
CY115075,A/swine/Illinois/A01116719/2011,Illinois,H1N2,N2.2002A,delta1b
JX844130,A/swine/Illinois/A01134651/2011,Illinois,H1N2,N2.2002A,delta1b
CY115078,A/swine/Illinois/A01134702/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858451,A/swine/Illinois/A01134703/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858452,A/swine/Illinois/A01134715/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858453,A/swine/Illinois/A01134719/2011,Illinois,H1N2,N2.2002A,delta1b
KR859597,A/swine/Illinois/A01134720/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858454,A/swine/Illinois/A01134721/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858455,A/swine/Illinois/A01134729/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858456,A/swine/Illinois/A01134736/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858457,A/swine/Illinois/A01134738/2011,Illinois,H1N2,N2.2002A,delta1b
JX080657,A/swine/Iowa/A01049694/2011,Iowa,(N2),N2.2002,gamma
JX844128,A/swine/Illinois/A01134652/2011,Illinois,H1N2,N2.2002A,delta1b
JN409425,A/swine/Kansas/11-107824/2011,Kansas,H3N2,N2.1998A,cluster_ivd
CY158547,A/swine/North_Carolina/SG1389/2011,North Carolina,H1N2,N2.1998B,delta2
CY115085,A/swine/Illinois/A01201151/2011,Illinois,H1N2,N2.2002A,delta1b
JN652447,A/swine/Iowa/A01049718/2011,Iowa,H1N2,N2.2002A,delta1b
CY115100,A/swine/Minnesota/A01201667/2011,Minnesota,H1N2,N2.2002A,delta1b
JN652449,A/swine/Iowa/A01049722/2011,Iowa,H1N2,N2.2002A,delta1b
JN652450,A/swine/Iowa/A01049723/2011,Iowa,H1N2,N2.2002A,delta1b
JN652451,A/swine/Iowa/A01049724/2011,Iowa,H1N2,N2.2002A,delta1b
JN652452,A/swine/Iowa/A01049726/2011,Iowa,H1N2,N2.2002A,delta1b
JN652453,A/swine/Iowa/A01049728/2011,Iowa,H1N2,N2.2002A,delta1b
JN652522,A/swine/Indiana/A01049744/2011,Indiana,H3N2,N2.2002A,cluster_iva
JN652523,A/swine/Indiana/A01049745/2011,Indiana,H3N2,N2.2002A,cluster_iva
CY158539,A/swine/North_Carolina/SG1388/2011,North Carolina,H1N2,N2.1998B,delta2
CY114790,A/swine/Illinois/A01116186/2011,Illinois,H1N2,N2.2002A,delta1b
JN652524,A/swine/Iowa/A01049750/2011,Iowa,H3N2,N2.1998A,cluster_ivf
JN652525,A/swine/Iowa/A01049755/2011,Iowa,H1N2,N2.1998A,delta-like
JN652527,A/swine/Iowa/A01049765/2011,Iowa,H1N2,N2.1998A,delta-like
JN652528,A/swine/Iowa/A01049766/2011,Iowa,H1N2,N2.1998A,delta-like
CY158555,A/swine/North_Carolina/SG1391/2011,North Carolina,H1N2,N2.2002A,delta1b
CY158571,A/swine/Indiana/04254/2011,Indiana,H1N2,N2.2002A,delta1b
JN409433,A/swine/Kansas/11-109700/2011,Kansas,H3N2,N2.1998A,cluster_ivf
JQ906925,A/swine/Minnesota/A01201102/2011,Minnesota,H1N2,N2.2002A,delta1b
JQ858458,A/swine/Illinois/A01201093/2011,Illinois,H1N2,N2.2002A,delta1b
JN652529,A/swine/Indiana/A01049794/2011,Indiana,H1N2,N2.2002A,delta1b
JQ783099,A/swine/Illinois/A01201076/2011,Illinois,H3N2,N2.1998A,cluster_ivf
CY114799,A/swine/Illinois/A01201077/2011,Illinois,H3N2,N2.1998A,cluster_ivf
KJ161870,A/swine/Indiana/A00968332/2011,Indiana,H1N2,N2.2002A,delta1b
JN409441,A/swine/Kansas/11-110529/2011,Kansas,H3N2,N2.2002B,cluster_ivf
JN652456,A/swine/Iowa/A01049858/2011,Iowa,H1N2,N2.2002A,delta1b
JX048062,A/swine/Illinois/A01201107/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858459,A/swine/Illinois/A01201111/2011,Illinois,H1N2,N2.2002A,delta1b
JN652530,A/swine/Iowa/A01049846/2011,Iowa,H1N2,N2.2002A,delta1b
JX844133,A/swine/Illinois/A01201091/2011,Illinois,H1N2,N2.2002A,delta1b
JN652532,A/swine/Iowa/A01049863/2011,Iowa,H1N2,N2.2002A,delta1b
JN652533,A/swine/Iowa/A01049864/2011,Iowa,H1N2,N2.2002A,delta1b
JQ906926,A/swine/Minnesota/A01201294/2011,Minnesota,H1N2,N2.2002A,delta1b
CY114805,A/swine/Minnesota/A01201296/2011,Minnesota,H1N2,N2.2002A,delta1b
CY114808,A/swine/Minnesota/A01201297/2011,Minnesota,H1N2,N2.2002A,delta1b
JN652534,A/swine/Illinois/A01049871/2011,Illinois,H1N2,N2.2002A,delta1b
JN652535,A/swine/Illinois/A01049872/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858460,A/swine/Illinois/A01201153/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858461,A/swine/Illinois/A01201154/2011,Illinois,H1N2,N2.2002A,delta1b
JN652536,A/swine/Iowa/A01049887/2011,Iowa,H1N2,N2.2002A,delta1b
JN652541,A/swine/Texas/A01049914/2011,Texas,H3N2,N2.1998A,cluster_ivf
JN652542,A/swine/Texas/A01049915/2011,Texas,H3N2,N2.1998A,cluster_ivf
CY158483,A/swine/Arkansas/SG1377/2011,Arkansas,H1N2,N2.2002A,delta1b
JQ858462,A/swine/Illinois/A01201284/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858463,A/swine/Illinois/A01201287/2011,Illinois,H1N2,N2.2002A,delta1b
JN652543,A/swine/Arkansas/A01049917/2011,Arkansas,H1N2,N2.2002A,delta1b
JN652544,A/swine/Minnesota/A01049936/2011,Minnesota,H3N2,N2.2002B,cluster_ivb
JN652545,A/swine/Nebraska/A01049937/2011,Nebraska,H3N2,N2.2002B,cluster_ivb
CY160123,A/swine/Minnesota/SG1395/2011,Minnesota,H1N2,N2.2002A,delta1b
JN652550,A/swine/Indiana/A01049953/2011,Indiana,H1N2,N2.2002A,delta1b
JN652549,A/swine/Illinois/A01049952/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858464,A/swine/Illinois/A01201330/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858465,A/swine/Illinois/A01201331/2011,Illinois,H1N2,N2.2002A,delta1b
JN652548,A/swine/Iowa/A01049951/2011,Iowa,H1N2,N2.2002A,delta1b
JN652551,A/swine/Minnesota/A01049956/2011,Minnesota,H1N2,N2.2002A,delta1b
JN652553,A/swine/Illinois/A01049967/2011,Illinois,H1N2,N2.2002A,delta1b
JN652554,A/swine/Illinois/A01049968/2011,Illinois,H1N2,N2.2002A,delta1b
JN652555,A/swine/Illinois/A01049969/2011,Illinois,H1N2,N2.2002A,delta1b
JN652552,A/swine/Indiana/A01049964/2011,Indiana,H1N2,N2.2002A,delta1b
JQ783100,A/swine/Minnesota/A01201437/2011,Minnesota,H3N2,N2.2002,cluster_iv
CY160061,A/swine/Arkansas/SG1379/2011,Arkansas,H1N2,N2.2002A,delta1b
JN863546,A/swine/Iowa/A01049970/2011,Iowa,H1N2,N2.2002A,delta1b
JQ858466,A/swine/Illinois/A01201484/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858467,A/swine/Illinois/A01201487/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858468,A/swine/Illinois/A01201512/2011,Illinois,H1N2,N2.2002A,delta1b
JX048063,A/swine/Illinois/A01201527/2011,Illinois,H1N2,N2.2002A,delta1b
JQ906892,A/swine/Illinois/A01201530/2011,Illinois,H1N2,N2.2002A,delta1b
JQ906893,A/swine/Illinois/A01201531/2011,Illinois,H1N2,N2.2002A,delta1b
JN863552,A/swine/Michigan/A01202036/2011,Michigan,H1N2,N2.2002A,delta1b
JN863553,A/swine/Michigan/A01202037/2011,Michigan,H1N2,N2.2002A,delta1b
CY107068,A/swine/Illinois/A01201606/2011,Illinois,H3N2,N2.2002B,cluster_ivd
CY114841,A/swine/Illinois/A01201606/2011,Illinois,H3N2,N2.2002B,cluster_ivd
CY114847,A/swine/Illinois/A01201629/2011,Illinois,H3N2,N2.2002B,cluster_ivd
CY114850,A/swine/Illinois/A01201631/2011,Illinois,H3N2,N2.2002B,cluster_ivd
JX048064,A/swine/Illinois/A01201633/2011,Illinois,H3N2,N2.2002B,cluster_ivd
JN863559,A/swine/Iowa/A01202063/2011,Iowa,N2,N2.2002A,delta1b
CY160089,A/swine/Arkansas/SG1382/2011,Arkansas,H1N2,N2.2002A,delta1b
JX092318,A/swine/Iowa/A01202083/2011,Iowa,H1N2,N2.2002,delta2
JQ783101,A/swine/Pennsylvania/A01201666/2011,Pennsylvania,H3N2,N2.2002,cluster_iv
CY158491,A/swine/Arkansas/SG1378/2011,Arkansas,H1N2,N2.2002A,delta1b
JQ906894,A/swine/Illinois/A01201768/2011,Illinois,H1N2,N2.2002A,delta1b
JX092319,A/swine/Iowa/A01202086/2011,Iowa,H1N2,N2.2002A,delta1b
JX092320,A/swine/Iowa/A01202087/2011,Iowa,H1N2,N2.2002A,delta1b
JQ689150,A/swine/Iowa/A01202088/2011,Iowa,H3N2,N2.2002B,cluster_iv
JX092321,A/swine/Iowa/A01202089/2011,Iowa,H3N2,N2.2002B,cluster_iv
JX092322,A/swine/Iowa/A01202091/2011,Iowa,H1N2,N2.2002A,delta1b
JQ783102,A/swine/Illinois/A01201770/2011,Illinois,H3N2,N2.2002,cluster_iv
JX092325,A/swine/Iowa/A01202108/2011,Iowa,H1N2,N2.2002A,delta1b
JX092326,A/swine/Indiana/A01202298/2011,Indiana,H1N2,N2.1998B,delta2
JX092327,A/swine/Iowa/A01202411/2011,Iowa,H1N2,N2.2002A,delta1a
JQ783103,A/swine/Minnesota/A01201894/2011,Minnesota,H3N2,N2.2002B,cluster_ivd
CY114858,A/swine/Minnesota/A01201895/2011,Minnesota,H3N2,N2.2002B,cluster_ivd
JX092328,A/swine/Oklahoma/A01202413/2011,Oklahoma,H1N2,N2.2002A,delta1b
KR859392,A/swine/Oklahoma/A01202414/2011,Oklahoma,H1N2,N2.2002A,delta1b
JX092329,A/swine/Oklahoma/A01202415/2011,Oklahoma,H1N2,N2.2002A,delta1b
KR859633,A/swine/Oklahoma/A01202417/2011,Oklahoma,H1N2,N2.2002A,delta1b
CY099368,A/swine/Illinois/A00907647/2011,Illinois,H1N2,N2.2002A,delta1b
JQ906896,A/swine/Illinois/A01201950/2011,Illinois,H1N2,N2.2002A,delta1b
JQ906895,A/swine/Illinois/A01201919/2011,Illinois,H1N2,N2.2002A,delta1b
CY114868,A/swine/Illinois/A01201927/2011,Illinois,H1N2,N2.2002A,delta1b
JX092331,A/swine/Iowa/A01202438/2011,Iowa,H1N2,N2.2002A,delta1b
JX092332,A/swine/Iowa/A01202439/2011,Iowa,H1N2,N2.2002A,delta1b
CY158507,A/swine/Arkansas/SG1384/2011,Arkansas,H1N2,N2.2002A,delta1b
CY114865,A/swine/Illinois/A00907727/2011,Illinois,H1N2,N2.2002A,delta1b
JX092333,A/swine/Iowa/A01202442/2011,Iowa,H1N2,N2.2002A,delta1b
JX092334,A/swine/Iowa/A01202443/2011,Iowa,H1N2,N2.2002A,delta1b
KR859407,A/swine/Iowa/A01202444/2011,Iowa,H1N2,N2.2002A,delta1b
JX092337,A/swine/Minnesota/A01202453/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092338,A/swine/Minnesota/A01202454/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092339,A/swine/Iowa/A01202455/2011,Iowa,H1N2,N2.2002A,delta1a
JQ906897,A/swine/Illinois/A01201983/2011,Illinois,H1N2,N2.2002A,delta1b
JQ906898,A/swine/Illinois/A01201985/2011,Illinois,H1N2,N2.2002A,delta1b
JX092341,A/swine/Minnesota/A01202471/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092342,A/swine/Minnesota/A01202472/2011,Minnesota,H1N2,N2.2002A,delta1b
JX048031,A/swine/Illinois/A00907653/2011,Illinois,H1N2,N2.2002A,delta1b
CY114875,A/swine/Minnesota/A00907733/2011,Minnesota,H3N2,N2.1998A,cluster_ivf
JQ783086,A/swine/Minnesota/A00907734/2011,Minnesota,H3N2,N2.1998A,cluster_ivf
CY131199,A/swine/Ohio/11SW103/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131207,A/swine/Ohio/11SW108/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131215,A/swine/Ohio/11SW109/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131223,A/swine/Ohio/11SW112/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131231,A/swine/Ohio/11SW113/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131239,A/swine/Ohio/11SW114/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131247,A/swine/Ohio/11SW115/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131255,A/swine/Ohio/11SW118/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131263,A/swine/Ohio/11SW119/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131271,A/swine/Ohio/11SW87/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131279,A/swine/Ohio/11SW93/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131287,A/swine/Ohio/11SW94/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131295,A/swine/Ohio/11SW95/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131303,A/swine/Ohio/11SW96/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131311,A/swine/Ohio/11SW97/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131327,A/swine/Ohio/11SW122/2011,Ohio,H1N2,N2.2002A,delta1b
CY131335,A/swine/Ohio/11SW123/2011,Ohio,H1N2,N2.2002A,delta1b
CY131343,A/swine/Ohio/11SW124/2011,Ohio,H1N2,N2.2002A,delta1b
CY131351,A/swine/Ohio/11SW125/2011,Ohio,H1N2,N2.2002A,delta1b
CY131359,A/swine/Ohio/11SW126/2011,Ohio,H1N2,N2.2002A,delta1b
CY131367,A/swine/Ohio/11SW128/2011,Ohio,H1N2,N2.2002A,delta1b
CY131375,A/swine/Ohio/11SW129/2011,Ohio,H1N2,N2.2002A,delta1b
CY131383,A/swine/Ohio/11SW130/2011,Ohio,H1N2,N2.2002A,delta1b
CY131391,A/swine/Ohio/11SW131/2011,Ohio,H1N2,N2.2002A,delta1b
CY131399,A/swine/Ohio/11SW132/2011,Ohio,H1N2,N2.2002A,delta1b
CY131407,A/swine/Ohio/11SW134/2011,Ohio,H1N2,N2.2002A,delta1b
CY131415,A/swine/Ohio/11SW135/2011,Ohio,H1N2,N2.2002A,delta1b
CY131423,A/swine/Ohio/11SW136/2011,Ohio,H1N2,N2.2002A,delta1b
CY131431,A/swine/Ohio/11SW137/2011,Ohio,H1N2,N2.2002A,delta1b
CY131439,A/swine/Ohio/11SW138/2011,Ohio,H1N2,N2.2002A,delta1b
CY131447,A/swine/Ohio/11SW139/2011,Ohio,H1N2,N2.2002A,delta1b
CY131455,A/swine/Ohio/11SW140/2011,Ohio,H1N2,N2.2002A,delta1b
CY131463,A/swine/Ohio/11SW146/2011,Ohio,H1N2,N2.2002A,delta1b
CY131471,A/swine/Ohio/11SW161/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131479,A/swine/Ohio/11SW163/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131487,A/swine/Ohio/11SW166/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131505,A/swine/Ohio/11SW169/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131513,A/swine/Ohio/11SW170/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131531,A/swine/Ohio/11SW172/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131539,A/swine/Ohio/11SW173/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131547,A/swine/Ohio/11SW174/2011,Ohio,H1N2,N2.2002A,delta1b
CY131555,A/swine/Ohio/11SW175/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131573,A/swine/Ohio/11SW179/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131581,A/swine/Ohio/11SW180/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131589,A/swine/Ohio/11SW183/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131607,A/swine/Ohio/11SW185/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131615,A/swine/Ohio/11SW186/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131623,A/swine/Ohio/11SW187/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131641,A/swine/Ohio/11SW191/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131649,A/swine/Ohio/11SW192/2011,Ohio,H1N2,N2.2002A,delta1b
CY131667,A/swine/Ohio/11SW196/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131675,A/swine/Ohio/11SW197/2011,Ohio,H3N2,N2.2002A,cluster_iva
JX092343,A/swine/Oklahoma/A01202498/2011,Oklahoma,H1N2,N2.2002A,delta1b
JQ756348,A/swine/Illinois/A00907748/2011,Illinois,H1N2,N2.2002A,delta1b
JX092344,A/swine/Nebraska/A01202501/2011,Nebraska,H1N2,N2.2002B,delta1b
CY131702,A/swine/Ohio/11SW202/2011,Ohio,H1N2,N2.2002A,delta1b
CY131719,A/swine/Ohio/11SW204/2011,Ohio,H1N2,N2.2002A,delta1b
CY131727,A/swine/Ohio/11SW205/2011,Ohio,H1N2,N2.2002A,delta1b
CY131744,A/swine/Ohio/11SW207/2011,Ohio,H1N2,N2.2002A,delta1b
CY131761,A/swine/Ohio/11SW210/2011,Ohio,H1N2,N2.2002A,delta1b
CY131769,A/swine/Ohio/11SW211/2011,Ohio,H3N2,N2.2002A,cluster_iva
CY131795,A/swine/Ohio/11SW215/2011,Ohio,H1N2,N2.2002A,delta1b
CY131803,A/swine/Ohio/11SW216/2011,Ohio,H1N2,N2.2002A,delta1b
CY131829,A/swine/Ohio/11SW220/2011,Ohio,H1N2,N2.2002A,delta1b
CY114880,A/swine/Minnesota/A01116286/2011,Minnesota,H1N2,N2.2002A,delta1b
CY158467,A/swine/Arkansas/SG1375/2011,Arkansas,H1N2,N2.2002A,delta1b
CY131837,A/swine/Ohio/11SW221/2011,Ohio,H1N2,N2.2002A,delta1b
CY131845,A/swine/Ohio/11SW224/2011,Ohio,H1N2,N2.2002A,delta1b
CY131853,A/swine/Ohio/11SW225/2011,Ohio,H1N2,N2.2002A,delta1b
CY131879,A/swine/Ohio/11SW228/2011,Ohio,H1N2,N2.2002A,delta1b
CY131887,A/swine/Ohio/11SW229/2011,Ohio,H1N2,N2.2002A,delta1b
CY131895,A/swine/Ohio/11SW231/2011,Ohio,H1N2,N2.2002A,delta1b
CY131903,A/swine/Ohio/11SW232/2011,Ohio,H1N2,N2.2002A,delta1b
CY131911,A/swine/Ohio/11SW234/2011,Ohio,H1N2,N2.2002A,delta1b
CY131919,A/swine/Ohio/11SW235/2011,Ohio,H1N2,N2.2002A,delta1b
CY131927,A/swine/Ohio/11SW236/2011,Ohio,H1N2,N2.2002A,delta1b
CY131935,A/swine/Ohio/11SW237/2011,Ohio,H1N2,N2.2002A,delta1b
CY131943,A/swine/Ohio/11SW239/2011,Ohio,H1N2,N2.2002A,delta1b
CY131951,A/swine/Ohio/11SW240/2011,Ohio,H1N2,N2.2002A,delta1b
CY131959,A/swine/Ohio/11SW347/2011,Ohio,H3N2,N2.2002A,cluster_iva
JX092346,A/swine/Iowa/A01202529/2011,Iowa,H3N2,N2.2002A,cluster_iva
JX092347,A/swine/Iowa/A01202530/2011,Iowa,H3N2,N2.2002A,cluster_iva
JQ906914,A/swine/Minnesota/A01116140/2011,Minnesota,H1N2,N2.2002A,delta1b
CY114885,A/swine/Illinois/A01116190/2011,Illinois,H3N2,N2.2002A,cluster_ive
CY160131,A/swine/Illinois/SG1398/2011,Illinois,H1N2,N2.2002A,delta1b
JQ783096,A/swine/Minnesota/A01116195/2011,Minnesota,H3N2,N2.2002B,cluster_ivb
JQ783097,A/swine/Minnesota/A01116200/2011,Minnesota,H3N2,N2.2002B,cluster_ivb
KF135550,A/swine/Ohio/11SW111/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF130906,A/swine/Ohio/11SW116/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF130922,A/swine/Ohio/11SW121/2011,Ohio,H1N2,N2.2002A,delta1b
KF130914,A/swine/Ohio/11SW127/2011,Ohio,H1N2,N2.2002A,delta1b
KF135534,A/swine/Ohio/11SW133/2011,Ohio,H1N2,N2.2002A,delta1b
KF130930,A/swine/Ohio/11SW144/2011,Ohio,H1N2,N2.2002A,delta1b
KF203217,A/swine/Ohio/11SW149/2011,Ohio,H1N2,N2.2002A,delta1b
KF135542,A/swine/Ohio/11SW162/2011,Ohio,H1N2,N2.2002A,delta1b
KF135566,A/swine/Ohio/11SW177/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF203184,A/swine/Ohio/11SW190/2011,Ohio,H1N2,N2.2002A,delta1b
KF135582,A/swine/Ohio/11SW193/2011,Ohio,H1N2,N2.2002A,delta1b
KF203200,A/swine/Ohio/11SW208/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF135526,A/swine/Ohio/11SW214/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF203208,A/swine/Ohio/11SW219/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF135558,A/swine/Ohio/11SW223/2011,Ohio,H1N2,N2.2002A,delta1b
KF135590,A/swine/Ohio/11SW230/2011,Ohio,H1N2,N2.2002A,delta1b
KF203192,A/swine/Ohio/11SW238/2011,Ohio,H1N2,N2.2002A,delta1b
CY160081,A/swine/Arkansas/SG1381/2011,Arkansas,H1N2,N2.2002A,delta1b
CY158499,A/swine/Arkansas/SG1383/2011,Arkansas,H1N2,N2.2002A,delta1b
JQ858439,A/swine/Illinois/A01116207/2011,Illinois,H1N2,N2.2002A,delta1b
JQ858440,A/swine/Illinois/A01116209/2011,Illinois,H1N2,N2.2002A,delta1b
CY114896,A/swine/Minnesota/A01116288/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092349,A/swine/Iowa/A01202573/2011,Iowa,H3N2,N2.2002A,cluster_iva
KJ719478,A/swine/Indiana/A00968344/2011,Indiana,H3N2,N2.2002,cluster_ivd
JX092350,A/swine/Iowa/A01202576/2011,Iowa,H1N2,N2.2002A,delta1b
JX092351,A/swine/Iowa/A01202581/2011,Iowa,H1N2,N2.2002A,delta1a
JN940424,A/swine/NY/A01104005/2011,New York,H3N2,N2.2002A,cluster_iva
KT589354,A/swine/Illinois/A00857129/2011,Illinois,H3N2,N2.2002A,cluster_iva
JX844129,A/swine/Illinois/A01116221/2011,Illinois,H1N2,N2.2002A,delta1b
KT589378,A/swine/Illinois/A00857131/2011,Illinois,H3N2,N2.2002A,delta1b
JX099375,A/swine/Illinois/A00857131/2011,Illinois,H1N2,N2.2002A,delta1b
JQ906915,A/swine/Minnesota/A01116285/2011,Minnesota,H1N2,N2.2002A,delta1a
JX092355,A/swine/Iowa/A01202612/2011,Iowa,H1N2,N2.2002A,delta1a
JX092356,A/swine/Iowa/A01202613/2011,Iowa,H3N2,N2.2002B,cluster_ivd
JX092357,A/swine/Iowa/A01202614/2011,Iowa,H3N2,N2.2002B,cluster_ivd
CY158595,A/swine/Minnesota/SG1403/2011,Minnesota,H1N2,N2.2002A,delta1b
CY159019,A/swine/Minnesota/SG1403/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092360,A/swine/Indiana/A01202621/2011,Indiana,H3N2,N2.2002A,cluster_iva
CY159011,A/swine/North_Carolina/SG1394/2011,North Carolina,H1N2,N2.1998B,delta2
JX092365,A/swine/Iowa/A01202639/2011,Iowa,H3N2,N2.2002A,cluster_iva
JQ350524,A/swine/Iowa/A01202640/2011,Iowa,H3N2,N2.2002A,cluster_iva
KF135518,A/swine/Ohio/11SW344/2011,Ohio,H3N2,N2.2002A,cluster_iva
KF135574,A/swine/Ohio/11SW349/2011,Ohio,H3N2,N2.2002A,cluster_iva
JX092363,A/swine/Indiana/A01202631/2011,Indiana,H1N2,N2.2002A,delta1b
JX092364,A/swine/Indiana/A01202632/2011,Indiana,H1N2,N2.2002A,delta1b
KT589386,A/swine/Illinois/A00857134/2011,Illinois,H3N2,N2.2002A,delta1b
JX099383,A/swine/Illinois/A00857134/2011,Illinois,H1N2,N2.2002A,delta1b
JX092456,A/swine/Iowa/A01202657/2011,Iowa,H3N2,N2.1998A,cluster_ivf
JX092457,A/swine/Iowa/A01202658/2011,Iowa,H3N2,N2.1998A,cluster_ivf
KF860841,A/swine/Indiana/A00968349/2011,Indiana,(N2),N2.2002A,cluster_iva
JX092455,A/swine/Michigan/A01202655/2011,Michigan,H3N2,N2.2002B,cluster_iv
JQ350532,A/swine/Iowa/A01202659/2011,Iowa,H3N2,N2.2002A,cluster_iva
CY158587,A/swine/Minnesota/SG1402/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092458,A/swine/Iowa/A01202671/2011,Iowa,H1N2,N2.2002A,delta1b
JQ398765,A/swine/Iowa/A01202693/2011,Iowa,H1N2,N2.2002A,delta1b
JQ756392,A/swine/Minnesota/A01240127/2011,Minnesota,H3N2,N2.1998A,cluster_ivf
JX092459,A/swine/Iowa/A01202677/2011,Iowa,H1N2,N2.2002A,delta1b
CY114910,A/swine/Minnesota/A01116381/2011,Minnesota,H3N2,N2.1998A,cluster_ivf
JX092460,A/swine/Iowa/A01202687/2011,Iowa,H1N2,N2.2002A,delta1b
JQ661494,A/swine/North_Carolina/A01048945/2011,North Carolina,Mixed/N2,N2.2002A,gamma
JX657790,A/swine/Minnesota/A01240666/2011,Minnesota,H1N2,N2.2002A,delta1b
JX657828,A/swine/Minnesota/A01240667/2011,Minnesota,H1N2,N2.2002A,delta1b
JX092468,A/swine/Iowa/A01202745/2011,Iowa,H1N2,N2.2002A,delta1b
